SCW, Obs Start Date, Obs End Date, Count Rate, Variance, Angular offset, Annular Count Rate, Annular Variance, PSF Count Rate, PSF Count Rate Error, PSF Count Rate Fixed, PSF Count Rate Error Fixed
004500180010.001,2003-02-25T14:09:13,2003-02-25T14:45:15,157.91718,0.7214258,6.674204577473679,-142.04256,0.10895872,164.72813183646744,3.4595885336719805,223.72927259358875,3.605495372057821
010200140010.001,2003-08-15T11:25:19,2003-08-15T12:01:58,164.39798,0.5575455,4.2547743950951284,-148.64041,-0.0071941614,176.65617405222736,3.573485478967152,254.96923609508391,4.106434394302952
017000770010.001,2004-03-06T19:01:05,2004-03-06T19:31:04,178.0005,0.89922506,3.005497699614453,-161.82465,-0.0065380335,192.23776056951124,4.347662359650427,234.04075207368487,3.8490573063574582
023900810010.001,2004-09-29T12:48:54,2004-09-29T13:18:53,177.55397,1.0654174,2.2679424535647295,-160.46283,-0.12465721,188.90865060156324,4.241813778542971,219.75004035857492,3.5439053615057676
030000080010.001,2005-03-29T14:08:39,2005-03-29T14:38:38,202.54272,1.5026168,5.659159524066681,-184.35791,-0.5261875,207.5948420850639,2.83788301274916,200.09627086623908,1.936958422105223
035200470010.001,2005-09-02T07:36:42,2005-09-02T08:36:13,183.57457,0.96382207,3.404720088357332,-166.98822,-0.07760608,192.09037862852017,3.2708063867270987,227.37324369470886,2.790220524003424
036500830010.001,2005-10-11T08:33:50,2005-10-11T09:03:50,177.49751,0.934716,5.722009754219877,-160.16675,0.02250582,194.30397415485322,3.0263922758154536,236.45571238667975,2.6796318431394153
042200600010.001,2006-03-29T21:12:10,2006-03-29T21:37:09,163.52815,0.9274518,2.0048237442909347,-148.26218,0.047529757,169.67314022777217,3.5765494222157077,209.0131025131005,3.216864250791888
048300560010.001,2006-09-29T08:03:53,2006-09-29T08:29:07,146.03372,0.8735618,3.6114848469801917,-129.4653,0.1978764,169.05998135153496,3.749287433126369,216.30342518017287,3.545540021451543
054100190010.001,2007-03-19T21:59:39,2007-03-19T22:29:39,170.07108,1.0140048,2.158778037490391,-153.6401,0.04404211,178.23863351118192,5.173374030140562,213.56528820228712,4.4793923285509845
060500110010.001,2007-09-27T04:28:58,2007-09-27T05:02:18,165.67609,0.8932313,2.193370657091729,-149.14131,0.03012836,183.44799928715142,5.34830054830341,228.8770082803695,4.89509068853454
